Snack Name,Brand,Snack Category,Snack Type,Plant-Based,Units Sold (in Millions),Revenue (in Millions)
Snickers,Mars,Chocolate,Sweet,No,11.67,10.33
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.71,14.83
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.09,5.22
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.45,7.11
Snickers,Mars,Chocolate,Sweet,No,9.09,8.23
Snickers,Mars,Chocolate,Sweet,No,6.3,5.45
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.8,14.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.79,9.2
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.88,11.6
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.24,12.97
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.53,9.99
Snickers,Mars,Chocolate,Sweet,No,12.74,11.7
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.43,10.75
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.71,7.9
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.56,5.9
Snickers,Mars,Chocolate,Sweet,No,6.66,6.37
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.19,13.9
Snickers,Mars,Chocolate,Sweet,No,11.35,10.36
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.33,15.81
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.24,15.86
Snickers,Mars,Chocolate,Sweet,No,12.82,11.64
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.97,11.8
Snickers,Mars,Chocolate,Sweet,No,11.26,9.97
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.31,8.07
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.36,14.03
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.36,10.83
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.04,11.02
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.59,15.05
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.67,7.74
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.06,8.69
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,6.85,8.32
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.48,10.08
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.15,14.31
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.51,7.73
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.28,6.45
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.98,6.18
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.95,6.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.8,11.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.96,10.6
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,17.46,23.0
Snickers,Mars,Chocolate,Sweet,No,11.76,10.31
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.96,7.52
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,6.89,7.88
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.32,10.66
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,15.7,19.91
Snickers,Mars,Chocolate,Sweet,No,11.03,9.34
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.76,9.25
Snickers,Mars,Chocolate,Sweet,No,9.75,9.07
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.45,16.47
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.97,10.67
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.33,15.9
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.03,12.52
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.66,4.88
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.98,9.57
Snickers,Mars,Chocolate,Sweet,No,12.93,11.54
Snickers,Mars,Chocolate,Sweet,No,8.25,7.79
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,6.81,8.97
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.72,7.83
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.72,6.02
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.93,12.64
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.63,7.72
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.97,13.98
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.42,8.78
Snickers,Mars,Chocolate,Sweet,No,8.76,8.2
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.43,9.83
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.14,10.14
Snickers,Mars,Chocolate,Sweet,No,11.47,10.86
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.83,11.08
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.3,10.03
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.22,13.13
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.58,11.68
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.49,12.9
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.53,8.72
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.81,8.38
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.74,16.8
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.66,11.06
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.89,7.66
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,16.24,21.22
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.82,6.64
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.05,13.98
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.34,9.48
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.25,8.26
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.84,11.98
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.78,10.96
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.87,7.37
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.82,11.1
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.62,14.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.59,11.28
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.23,5.96
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.05,8.89
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,7.91,10.08
Snickers,Mars,Chocolate,Sweet,No,10.15,9.55
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.4,6.81
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.3,12.06
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.82,19.74
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.66,11.87
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.45,6.93
